YEAR,NIVIDIA ,NIVIDIAMARKETCAP,Microsoft,MICROSOFT MARKETCAP, Apple,APPLE'S MARKETCAP,Alphabet (Google) ,GOOGLE MARKETCAP,Amazon,AMAZON MARKETCAP,Meta,META MARKETCAP,Broadcom ,BROADCOM MARKET CAP,Saudi Aramco,SAUDI ARAMCO MARKECAP,Tesla,TESLA MARKETPCAP,TSMC,TSMS MAKETCAP
2025,$4.338T,4338000000000.00,$3.801 T,3801000000000.00,$3.791 T,3791000000000.00,$2.984 T,2984000000000.00,$2.343 T,2343000000000.00,$1.868 T,1868000000000.00,$1.579 T,1579000000000.00,$1.805 T,1805000000000.00,$1.385 T,1385000000000.00,$1.417 T,1417000000000.00
2024,$3.355 T,3355000000000.00,$3.200 T,3200000000000.00,$3.863 T,3863000000000.00,$2.365 T,2365000000000.00,$2.352 T,2352000000000.00,$1.514 T,1514000000000.00,$1.133 T,1133000000000.00,$2.133 T,2133000000000.00,$789.89 B,789890000000.00,$1.045 T,1045000000000.00
2023,$1.223 T,1223000000000.00,$2.794 T,2794000000000.00,$2.994 T,2994000000000.00,$1.756 T,1756000000000.00,$1.570 T,1570000000000.00,$909.62 B,909620000000.00,$461.01 B,461010000000.00,$1.881 T,1881000000000.00,$388.97 B,388970000000.00,$539.38 B,539380000000.00
2022,$364.18 B,364180000000.00,$1.787 T,1787000000000.00,$2.066 T,2066000000000.00,$1.145 T,1145000000000.00,$856.94 B,856940000000.00,$319.88 B,319880000000.00,$233.65 B,233650000000.00,$1.908 T,1908000000000.00,$1.061 T,1061000000000.00,$386.31 B,386310000000.00
2021,$735.27 B,735270000000.00,$2.522 T,2522000000000.00,$2.901 T,2901000000000.00,$1.917 T,1917000000000.00,$1.691 T,1691000000000.00,$921.93 B,921930000000.00,$274.73 B,274730000000.00,$2.053 T,2053000000000.00,$668.90 B,668900000000.00,$575.93 B,575930000000.00
2020,$323.24 B,323240000000.00,$1.681 T,1681000000000.00,$2.255 T,2255000000000.00,$1.185 T,1185000000000.00,$1.634 T,1634000000000.00,$778.23 B,778230000000.00,$178.07 B,178070000000.00,$1.880 T,1880000000000.00,$75.71 B,75710000000.00,$488.12 B,488120000000.00
2019,$144.00 B,144000000000.00,$1.200 T,1200000000000.00,$1.287 T,1287000000000.00,$921.13 B,921130000000.00,$920.22 B,920220000000.00,$585.37 B,585370000000.00,$125.71 B,125710000000.00,,,$57.44 B,57440000000.00,$286.57 B,286570000000.00
2018,$81.43 B,81430000000.00,$780.36 B,780360000000.00,$746.07 B,746070000000.00,$723.55 B,723550000000.00,$737.46 B,737460000000.00,$374.13 B,374130000000.00,$103.56 B,103560000000.00,,,$52.32 B,52320000000.00,$191.19 B,191190000000.00
2017,$117.26 B,117260000000.00,$659.90 B,659900000000.00,$860.88 B,860880000000.00,$729.45 B,729450000000.00,$563.53 B,563530000000.00,$512.75 B,512750000000.00,$105.16 B,105160000000.00,,,$34.42 B,34420000000.00,$199.41 B,199410000000.00
2016,$57.53 B,57530000000.00,$483.16 B,483160000000.00,$608.96 B,608960000000.00,$539.06 B,539060000000.00,$356.31 B,356310000000.00,$331.59 B,331590000000.00,$70.52 B,70520000000.00,,,$31.54 B,31540000000.00,$145.70 B,145700000000.00
