YEAR,NIVIDIAMARKETCAP,MICROSOFT MARKETCAP,APPLE'S MARKETCAP,GOOGLE MARKETCAP,AMAZON MARKETCAP,META MARKETCAP,BROADCOM MARKET CAP,SAUDI ARAMCO MARKECAP,TESLA MARKETPCAP,TSMS MAKETCAP,NIVIDIA  INDEX,Microsoft INDEX, Apple INDEX,Alphabet INDEX,Amazon INDEX,,Meta INDEX,Broadcom  INEDX,Saudi Aramco INDEX,Tesla INDEX,TSMC INDEX
2025.00,4338000000000.00,3801000000000.00,3791000000000.00,2984000000000.00,2343000000000.00,1868000000000.00,1579000000000.00,1805000000000.00,1385000000000.00,1417000000000.00,100,100,100,100,100,,100,100,100,100,100
2024.00,3355000000000.00,3200000000000.00,3863000000000.00,2365000000000.00,2352000000000.00,1514000000000.00,1133000000000.00,2133000000000.00,789890000000.00,1045000000000.00,77.3397879207008,84.1883714811892,101.899235030335,79.2560321715818,100.384122919334,,81.0492505353319,71.7542748575048,118.171745152355,57.0317689530686,73.7473535638673
2023.00,1223000000000.00,2794000000000.00,2994000000000.00,1756000000000.00,1570000000000.00,909620000000.00,461010000000.00,1881000000000.00,388970000000.00,539380000000.00,28.1927155371139,73.5069718495133,78.9765233447639,58.8471849865952,67.0081092616304,,48.6948608137045,29.196326789107,104.210526315789,28.084476534296,38.0649258997883
2022.00,364180000000.00,1787000000000.00,2066000000000.00,1145000000000.00,856940000000.00,319880000000.00,233650000000.00,1908000000000.00,1061000000000.00,386310000000.00,8.39511295527893,47.0139436990266,54.4974940648905,38.3713136729223,36.5744771660265,,17.1241970021413,14.7973400886637,105.706371191136,76.6064981949458,27.2625264643613
2021.00,735270000000.00,2522000000000.00,2901000000000.00,1917000000000.00,1691000000000.00,921930000000.00,274730000000.00,2053000000000.00,668900000000.00,575930000000.00,16.9495159059474,66.3509602736122,76.5233447639145,64.2426273458445,72.1724285104567,,49.3538543897216,17.3989867004433,113.739612188366,48.2960288808664,40.6443189837685
2020.00,323240000000.00,1681000000000.00,2255000000000.00,1185000000000.00,1634000000000.00,778230000000.00,178070000000.00,1880000000000.00,75710000000.00,488120000000.00,7.45136007376671,44.2252038937122,59.4829860195199,39.7117962466488,69.7396500213402,,41.6611349036403,11.2773907536415,104.15512465374,5.46642599277978,34.4474241354975
2019.00,144000000000.00,1200000000000.00,1287000000000.00,921130000000.00,920220000000.00,585370000000.00,125710000000.00,,57440000000.00,286570000000.00,3.3195020746888,31.5706393054459,33.9488261672382,30.8689678284182,39.2752880921895,,31.3367237687366,7.96136795440152,0,4.14729241877256,20.2237120677488
2018.00,81430000000.00,780360000000.00,746070000000.00,723550000000.00,737460000000.00,374130000000.00,103560000000.00,,52320000000.00,191190000000.00,1.87713231904103,20.5303867403315,19.6800316539172,24.247654155496,31.4750320102433,,20.0283725910064,6.55858138062065,0,3.77761732851986,13.4925899788285
2017.00,117260000000.00,659900000000.00,860880000000.00,729450000000.00,563530000000.00,512750000000.00,105160000000.00,,34420000000.00,199410000000.00,2.70308898109728,17.3612207313865,22.7085201793722,24.4453753351206,24.0516431924883,,27.4491434689507,6.65991133628879,0,2.48519855595668,14.0726887791108
2016.00,57530000000.00,483160000000.00,608960000000.00,539060000000.00,356310000000.00,331590000000.00,70520000000.00,,31540000000.00,145700000000.00,1.32618718303366,12.711391739016,16.0633078343445,18.0650134048257,15.2074263764405,,17.7510706638116,4.46611779607346,0,2.27725631768953,10.2822865208186
2015.00,17730000000.00,439670000000.00,583610000000.00,528160000000.00,318340000000.00,296600000000.00,40130000000.00,,27950000000.00,109640000000.00,0.408713692946058,11.5672191528545,15.3946188340807,17.6997319034853,13.5868544600939,,15.8779443254818,2.54148195060165,0,2.01805054151625,7.73747353563867
2014.00,10890000000.00,381720000000.00,643120000000.00,359500000000.00,144310000000.00,216730000000.00,25680000000.00,,18510000000.00,115310000000.00,0.25103734439834,10.0426203630624,16.9643893431812,12.0475871313673,6.15919760990184,,11.6022483940043,1.62634578847372,0,1.33646209386282,8.13761467889908
2013.00,9100000000.00,310500000000.00,500740000000.00,,183040000000.00,139190000000.00,13160000000.00,,3860000000.00,91390000000.00,0.209774089442139,8.16890292028413,13.2086520706937,0,7.81220657276995,,7.45128479657388,0.833438885370488,0,0.27870036101083,6.44954128440367
2012.00,7660000000.00,223660000000.00,499690000000.00,,113890000000.00,63140000000.00,7770000000.00,,2970000000.00,86830000000.00,0.176579068695251,5.88424098921337,13.180954893168,0,4.86086214255228,,3.38008565310493,0.492083597213426,0,0.214440433212996,6.12773465067043
2011.00,8460000000.00,218380000000.00,377510000000.00,,78710000000.00,,7050000000.00,,2520000000.00,65310000000.00,0.195020746887967,5.7453301762694,9.95805855974677,0,3.35936833119932,,0,0.446485117162761,0,0.181949458483755,4.6090331686662
2010.00,8940000000.00,234520000000.00,297090000000.00,,81180000000.00,,6860000000.00,,,63550000000.00,0.206085753803596,6.16995527492765,7.83671854391981,0,3.46478873239437,,0,0.434452184927169,0,0,4.484827099506
2009.00,10360000000.00,268550000000.00,190980000000.00,,59720000000.00,,4300000000.00,,,52210000000.00,0.238819732595666,7.06524598789792,5.0377209179636,0,2.54886897140418,,0,0.272324255858138,0,0,3.68454481298518
2008.00,4330000000.00,172920000000.00,75990000000.00,,21990000000.00,,,,,40480000000.00,0.0998155832180729,4.54932912391476,2.00448430493274,0,0.93854033290653,,0,0,0,0,2.85673959068455
2007.00,18900000000.00,332110000000.00,174030000000.00,,38530000000.00,,,,,51040000000.00,0.435684647302905,8.73743751644304,4.59060933790557,0,1.64447289799402,,0,0,0,0,3.60197600564573
2006.00,13150000000.00,291940000000.00,72980000000.00,,16330000000.00,,,,,,0.303135085292762,7.68061036569324,1.92508572935901,0,0.696969696969697,,0,0,0,0,0
2005.00,6250000000.00,271540000000.00,60790000000.00,,19610000000.00,,,,,,0.14407561088059,7.14390949750066,1.60353468741757,0,0.836961160904823,,0,0,0,0,0
2004.00,3910000000.00,290710000000.00,26050000000.00,,18140000000.00,,,,,,0.0901337021668972,7.64825046040516,0.687153785280929,0,0.774221084080239,,0,0,0,0,0
2003.00,2500000000.00,295290000000.00,7880000000.00,,21220000000.00,,,,,,0.0576302443522361,7.76874506708761,0.207860722764442,0,0.905676483141272,,0,0,0,0,0
2002.00,1200000000.00,276630000000.00,5160000000.00,,7320000000.00,,,,,,0.0276625172890733,7.27782162588792,0.136111843840675,0,0.312419974391805,,0,0,0,0,0
2001.00,6440000000.00,358050000000.00,7710000000.00,,4030000000.00,,,,,,0.14845550945136,9.41988950276243,0.203376417831707,0,0.172001707212975,,0,0,0,0,0
2000.00,2220000000.00,230800000000.00,5130000000.00,,5550000000.00,,,,,,0.0511756569847856,6.07208629308077,0.135320495911369,0,0.236875800256082,,0,0,0,0,0
1999.00,960000000.00,604410000000.00,16570000000.00,,26270000000.00,,,,,,0.0221300138312586,15.9013417521705,0.437087839620153,0,1.12121212121212,,0,0,0,0,0
1998.00,0.00,348100000000.00,5540000000.00,,17050000000.00,,,,,,0,9.15811628518811,0.146135584278554,0,0.727699530516432,,0,0,0,0,0
1997.00,0.00,157360000000.00,1680000000.00,,1440000000.00,,,,,,0,4.13996316758748,0.0443154840411501,0,0.0614596670934699,,0,0,0,0,0
1996.00,0.00,99410000000.00,2600000000.00,,,,,,,,0,2.61536437779532,0.0685834872065418,0,0,,0,0,0,0,0
1995.00,0.00,0.00,0.00,,,,,,,,0,0,0,0,0,,0,0,0,0,0
